                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.4639,                  1.335,                 1.5276,                0.49309,                0.48837,                0.45665,                0.20398,                 1.9773,                 1.8522,                 1.9888,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.4086,                 1.2926,                 1.4722,                0.52035,                0.43023,                0.44812,                0.19724,                 1.9544,                 1.8459,                  1.992,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.4413,                 1.2757,                 1.5101,                0.52601,                0.47209,                0.47485,                0.20237,                 1.9967,                 1.8443,                 2.0004,              0.0013268,              0.0013268,              0.0013268
                     71,                  1.377,                 1.2743,                  1.469,                0.49245,                0.44884,                0.44714,                 0.1818,                 2.0519,                  1.863,                 2.0137,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.4774,                 1.3418,                 1.6101,                0.50669,                0.46977,                0.43554,                0.17327,                 1.9848,                 1.8611,                 2.0415,               0.001307,               0.001307,               0.001307
                     73,                 1.3521,                 1.2067,                 1.4463,                0.47632,                0.47907,                0.41891,                0.16258,                 2.0472,                   1.91,                 2.0768,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.3796,                 1.3804,                 1.4737,                0.38951,                0.39767,                0.31658,                0.12677,                 2.1121,                 2.3318,                 2.1257,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.3673,                 1.2377,                 1.4349,                0.44837,                0.50092,                0.43248,                0.18081,                 2.0643,                 1.8994,                 2.0413,              0.0012773,              0.0012773,              0.0012773
                     76,                  1.265,                 1.6219,                 1.3348,                0.45942,                0.44074,                0.39976,                0.16127,                 2.0299,                 1.9729,                 2.0106,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.3795,                 1.2238,                  1.441,                0.46194,                0.43953,                0.39565,                0.15383,                 2.1033,                 1.9314,                 2.0699,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.4029,                 1.3012,                 1.4627,                0.58058,                0.44651,                0.46541,                 0.1903,                 1.9916,                 1.8402,                 1.9822,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.2733,                 1.1752,                 1.3869,                0.51646,                0.48605,                0.45169,                0.19219,                 2.0296,                 1.7917,                 1.9985,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.2809,                 1.1555,                 1.4091,                0.52209,                0.47255,                 0.4726,                0.19124,                 2.0221,                 1.8016,                 1.9993,              0.0012278,              0.0012278,              0.0012278
